user_id_str,info,whether_active,user_screen_name
307071884.0,M,no,Not found
2340821.0,F,no,Not found
3388544465.0,F,no,Not found
359299986.0,M,no,Not found
2854616179.0,F,no,Not found
227910163.0,F,no,Not found
2413842998.0,M,no,Not found
780540098.0,F,no,Not found
98873458.0,M,no,Not found
2303638746.0,M,no,Not found
21420819.0,F,no,Not found
2974841467.0,F,no,Not found
3973937112.0,F,no,Not found
872616324.0,F,no,Not found
885336408.0,M,yes,J_cooper1990
617875930.0,F,no,Not found
336941297.0,M,no,Not found
2572375764.0,F,no,Not found
94114912.0,F,no,Not found
374438999.0,M,no,Not found
216030405.0,F,no,Not found
603712296.0,M,no,Not found
164729685.0,F,no,Not found
20066293.0,M,no,Not found
953901134.0,M,no,Not found
388545701.0,M,no,Not found
7.9e+17,F,,Not found
46228767.0,F,yes,ewanandfriends
2231539655.0,F,no,Not found
2163213144.0,M,no,Not found
2825383630.0,M,no,Not found
4708108637.0,F,no,Not found
51824516.0,M,no,Not found
17030728.0,F,no,Not found
413233775.0,F,no,Not found
4666990218.0,F,no,Not found
25113236.0,M,no,Not found
391010001.0,M,no,Not found
35323518.0,M,no,Not found
4245183196.0,F,no,Not found
7765902.0,F,no,Not found
898250437.0,M,no,Not found
470553237.0,M,no,Not found
14178066.0,F,no,Not found
123063443.0,F,no,Not found
185954790.0,F,no,Not found
471697777.0,F,no,Not found
3679987464.0,F,no,Not found
7.93e+17,F,,Not found
4361782161.0,M,no,Not found
8922082.0,M,no,Not found
2200072755.0,M,no,Not found
103140221.0,M,no,Not found
40251516.0,F,no,Not found
88541237.0,M,no,Not found
6.97e+17,M,,Not found
1433596662.0,M,no,Not found
3318597149.0,M,no,Not found
109469032.0,M,no,Not found
619522261.0,F,no,Not found
78126698.0,M,no,Not found
101879535.0,M,no,Not found
84390105.0,M,no,Not found
2897133662.0,M,no,Not found
28291808.0,M,no,Not found
321634113.0,M,no,Not found
209180682.0,M,no,Not found
107422115.0,F,no,Not found
28397661.0,F,no,Not found
2488775060.0,M,no,Not found
16470450.0,M,no,Not found
79378269.0,F,no,Not found
235546963.0,F,no,Not found
7.26e+17,F,,Not found
270396051.0,F,no,Not found
470412760.0,M,no,Not found
2774375013.0,M,no,Not found
841448508.0,M,no,Not found
2366888623.0,F,yes,pranabdavinci
71177611.0,M,no,Not found
543571642.0,F,yes,ranabiswanath12
2171653297.0,M,no,Not found
444561240.0,M,no,Not found
1587800580.0,M,no,Not found
41917868.0,M,no,Not found
2517601038.0,M,no,Not found
118712723.0,F,no,Not found
207016716.0,F,no,Not found
18245601.0,F,no,Not found
1426939406.0,M,yes,AshitMr
953947501.0,M,yes,Lunaborne
141514699.0,F,no,Not found
1539218622.0,M,no,Not found
245323551.0,F,no,Not found
1513009609.0,M,no,Not found
218100045.0,F,no,Not found
62304497.0,M,no,Not found
467046076.0,F,no,Not found
18267432.0,F,no,Not found
41457911.0,M,no,Not found
220095890.0,F,no,Not found
13185272.0,F,no,Not found
34403734.0,M,no,Not found
211314838.0,M,no,Not found
55160211.0,F,no,Not found
7.94e+17,F,,Not found
637224461.0,M,no,Not found
615138587.0,F,no,Not found
1977690018.0,M,no,Not found
391582041.0,M,no,Not found
7.51e+17,M,,Not found
218176653.0,M,no,Not found
1146559795.0,F,no,Not found
111567872.0,F,no,Not found
120838314.0,M,no,Not found
1282440788.0,M,no,Not found
248361725.0,M,no,Not found
412218454.0,F,no,Not found
14286542.0,F,no,Not found
2998233178.0,M,no,Not found
444045584.0,F,no,Not found
322230922.0,M,no,Not found
164623724.0,M,no,Not found
20479369.0,M,no,Not found
21875869.0,M,no,Not found
470228513.0,F,no,Not found
21287437.0,F,no,Not found
86762070.0,F,yes,lahsivarhor
2735624285.0,F,no,Not found
7.28e+17,M,,Not found
173736457.0,F,no,Not found
151471706.0,M,no,Not found
2780953026.0,F,no,Not found
7.82e+17,F,,Not found
48826221.0,F,no,Not found
600235351.0,M,no,Not found
7.48e+17,M,,Not found
49401720.0,M,no,Not found
4827082615.0,M,no,Not found
68398349.0,M,yes,yktalks
28450322.0,M,no,Not found
1259743393.0,M,no,Not found
85868833.0,F,no,Not found
3241686193.0,M,no,Not found
132345637.0,M,no,Not found
124711644.0,F,no,Not found
350308945.0,M,no,Not found
170352544.0,M,no,Not found
3082851141.0,F,no,Not found
19815917.0,F,no,Not found
219151894.0,M,no,Not found
77020260.0,F,no,Not found
40573844.0,F,no,Not found
16059827.0,M,no,Not found
182811243.0,F,no,Not found
16669765.0,F,no,Not found
1859308328.0,M,no,Not found
2189027816.0,M,yes,DragonMcElroy
49263856.0,F,yes,SunnyKinger
121513127.0,F,no,Not found
1497020376.0,M,no,Not found
155014004.0,F,no,Not found
2927219833.0,F,no,Not found
1299813354.0,F,no,Not found
49750455.0,F,no,Not found
7.47e+17,F,,Not found
173297485.0,F,no,Not found
329538941.0,M,no,Not found
1923986118.0,F,no,Not found
418264644.0,M,no,Not found
230094546.0,M,no,Not found
230429587.0,F,no,Not found
569410380.0,M,no,Not found
26787826.0,F,yes,theghostofkip
2856962985.0,M,no,Not found
40769391.0,F,no,Not found
23845398.0,M,no,Not found
12144232.0,M,no,Not found
3198506329.0,M,no,Not found
51267605.0,M,no,Not found
3822557232.0,F,no,Not found
180726357.0,M,no,Not found
4494066677.0,M,no,Not found
2197473794.0,F,no,Not found
468476916.0,F,no,Not found
236599759.0,M,no,Not found
23756473.0,F,no,Not found
1876523509.0,F,no,Not found
36746331.0,F,no,Not found
18240730.0,F,no,Not found
90510002.0,F,no,Not found
70391352.0,F,no,Not found
117022992.0,F,no,Not found
97359917.0,M,no,Not found
367853187.0,M,no,Not found
77827976.0,M,no,Not found
800813617.0,F,no,Not found
67290915.0,M,no,Not found
2851697636.0,M,no,Not found
901169144.0,F,no,Not found
15374193.0,F,no,Not found
3191823195.0,M,no,Not found
588300950.0,M,no,Not found
2488873374.0,F,no,Not found
28417220.0,F,no,Not found
3304637221.0,M,no,Not found
14511067.0,F,no,Not found
45646219.0,F,no,Not found
16611081.0,M,no,Not found
86668987.0,F,no,Not found
395496665.0,M,no,Not found
574136897.0,F,no,Not found
72701241.0,F,no,Not found
110614239.0,M,no,Not found
35857831.0,F,no,Not found
3758506395.0,F,no,Not found
2960386147.0,M,no,Not found
20561973.0,F,no,Not found
283608923.0,M,no,Not found
1382868224.0,F,no,Not found
20842436.0,F,no,Not found
268256709.0,F,no,Not found
173123534.0,M,no,Not found
21024374.0,F,no,Not found
48893323.0,M,no,Not found
7.81e+17,F,,Not found
482233945.0,F,no,Not found
2466234432.0,F,no,Not found
860782586.0,F,no,Not found
31453996.0,M,no,Not found
62059958.0,M,no,Not found
